School Name,Parish
A. Dacosta Edwards Primary,St. Andrew
All Saints' Primary,St. Peter
Arthur Smith Primary,Christ Church
Bay Primary,St. Michael
Bayley's Primary,St. Philip
Belmont Primary,St. Michael
Blackman & Gollop Primary,Christ Church
Charles F. Broome Primary,St. Michael
Christ Church Girls' Primary,Christ Church
Cuthbert Moore Primary,St. George
Deacon's Primary,St. Michael
Eagle Hall Primary,St. Michael
Eden Lodge Primary,St. Michael
Ellerton Primary,St. George
Elliott Belgrave Primary,St. Peter
George Lamming Primary,St. Michael
Gordon Greenidge Primary,St. Peter
Gordon Walters Primary,Christ Church
Grazettes Primary,St. Michael
Half Moon Fort Primary,St. Lucy
Hilda Skeene Primary,St. Philip
Hillaby-Turner's Hall Primary,St. Thomas
Hilltop Preparatory Primary,St. Michael
Hindsbury Primary,St. Michael
Holy Innocents Primary,St. Thomas
Lawrence T. Gay Memorial,St. Michael
Luther Thorne Memorial,St. Michael
Milton Lynch Primary,Christ Church
Mount Tabor Primary,St. John
Reynold Weekes Primary,St. Philip
Roland Edwards Primary,St. Peter
Selah Primary,St. Lucy
Sharon Primary,St. Thomas
St. Alban's Junior Primary,St. James
St. Ambrose Primary,St. Michael
St. Bartholomew's Primary,Christ Church
St. Bernard's Primary,St. Joseph
St. Catherine's Primary,St. Philip
St. Christopher's Primary,Christ Church
St. Cyprian's Primary,St. Michael
St. Elizabeth Primary,St. Joseph
St. Gabriel's Primary,St. Michael
St. George Primary,St. George
St. Giles Primary,St. Michael
St. James Primary,St. James
St. John Primary,St. John
St. Joseph's Primary,St. Joseph
St. Lawrence Primary,Christ Church
St. Luke's-Brighton Primary,St. George
St. Luke's Academy,St. Peter
St. Margaret's Primary,St. John
St. Mark's Primary,St. Philip
St. Martin's Mangrove Primary,St. Philip
St. Mary's Primary,St. Michael
St. Matthew's Primary,St. Michael
St. Patrick's R.C.,St. Michael
St. Paul's Primary,St. Michael
St. Philip's Primary,St. Philip
St. Silas Primary,St. James
St. Stephen's Primary,St. Michael
St. Winifred's Primary,St. Michael
The Learning Centre,St. Michael
The Rock Christian,St. Michael
Trinity Academy,St. Michael
Warrens Primary School,St. Michael
Welches Primary,St. Thomas
Wesley Hall Junior Primary,St. Michael
Westbury Primary,St. Michael
West Terrace Primary,St. James
Wilkie Cumberbatch Primary,St. Michael
Windsor High School,St. Michael
Wills Private,Christ Church
Workman's Primary,St. George
